"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Will Dissly","TE","SEA","38","0","20","46","57","47","0","36","bye","32","25","16","33","42","26","0","28","0","446","34.3"
"Sammy Watkins","WR","BAL","56","70","46","53","20","0","0","bye","0","23","60","35","34","23","0","0","0","21","441","40.1"
"Elijah Mitchell","RB","SF","35","43","0","0","44","bye","37","36","39","36","0","49","49","0","0","0","36","37","441","40.1"
"Joshua Palmer","WR","LAC","14","18","0","0","16","29","bye","8","21","18","23","30","22","62","33","60","31","56","441","29.4"
"Rondale Moore","WR","ARI","20","28","23","33","29","42","37","36","57","18","32","bye","23","34","20","0","0","0","432","30.9"
"Taysom Hill","TE","NO","22","10","33","34","9","bye","0","0","17","21","0","0","70","70","61","0","58","26","431","35.9"
"Miles Sanders","RB","PHI","47","39","35","47","50","43","12","0","0","0","36","22","41","bye","35","19","0","0","426","35.5"
"Albert Okwuegbunam","TE","DEN","37","37","29","16","0","0","0","26","63","24","bye","28","33","38","30","14","30","16","421","30.1"
"Andy Dalton","QB","CHI","64","23","0","0","3","0","0","0","0","bye","29","70","76","0","0","0","65","82","412","51.5"
"Jerry Jeudy","WR","DEN","31","0","0","0","0","0","0","38","47","45","bye","35","56","41","52","31","0","36","412","41.2"
"Derrick Henry","RB","TEN","40","67","49","59","49","43","50","54","0","0","0","0","bye","0","0","0","0","0","411","51.4"
"MyCole Pruitt","TE","TEN","0","55","37","28","38","16","37","35","27","23","0","27","bye","33","27","27","0","0","410","31.5"
"Ty Johnson","RB","NYJ","35","33","31","20","22","bye","21","24","32","25","20","23","28","48","0","0","31","15","408","27.2"
"Damien Harris","RB","NE","40","25","22","36","21","26","35","41","24","0","25","22","13","bye","0","31","16","30","407","27.1"
"Antoine Wesley","WR","ARI","0","0","0","0","0","0","0","31","54","42","63","bye","0","0","64","50","44","57","405","50.6"
"Mark Ingram II","RB","Multi","36","19","19","10","26","33","21","22","26","57","47","0","30","0","30","24","0","0","400","28.6"
"Donald Parham Jr.","TE","LAC","41","34","31","39","40","26","bye","25","28","27","32","28","16","29","2","0","0","0","398","28.4"
"Anthony Firkser","TE","TEN","31","0","0","50","27","15","24","20","25","22","41","26","bye","30","17","16","29","23","396","26.4"
"Julio Jones","WR","TEN","50","66","34","0","0","35","29","0","43","0","0","0","bye","32","27","31","0","46","393","39.3"
"Marquise Goodwin","WR","CHI","26","31","10","29","24","29","35","30","32","bye","42","32","0","0","0","23","24","26","393","28.1"
"Terrace Marshall Jr.","WR","CAR","34","39","45","50","54","23","0","0","22","18","14","0","bye","0","8","41","44","0","392","32.7"
"Braxton Berrios","WR","NYJ","37","43","42","9","6","bye","6","20","16","22","10","13","19","27","19","48","53","0","390","24.4"
"Marcedes Lewis","TE","GB","15","0","0","35","29","40","21","31","29","42","0","33","bye","36","31","25","0","20","387","29.8"
"Hayden Hurst","TE","ATL","43","30","24","49","43","bye","37","33","26","0","0","0","0","43","25","22","0","12","387","32.3"
"Harrison Bryant","TE","CLE","19","31","33","29","31","0","30","23","25","23","31","16","bye","0","22","19","19","34","385","25.7"
"Zack Moss","RB","BUF","0","18","44","40","42","42","bye","47","19","28","16","0","24","0","0","26","16","18","380","29.2"
"Latavius Murray","RB","BAL","21","27","19","45","36","26","0","bye","0","0","30","36","14","20","29","17","19","39","378","27.0"
"Alexander Mattison","RB","MIN","9","13","51","23","44","12","bye","8","9","12","12","22","65","13","0","47","19","18","377","23.6"
"Jacoby Brissett","QB","MIA","2","65","83","52","54","1","0","0","74","37","0","0","0","bye","3","4","1","0","376","34.2"
"Patrick Ricard","RB","BAL","41","48","29","51","0","0","0","bye","61","0","48","60","38","0","0","0","0","0","376","47.0"
"Tony Pollard","RB","DAL","20","21","29","18","31","26","bye","19","24","32","22","31","28","0","29","25","19","0","374","24.9"
"Tyler Huntley","QB","BAL","0","0","0","0","0","4","12","bye","0","0","81","0","0","64","70","0","71","71","373","53.3"
"Jameis Winston","QB","NO","60","42","59","60","56","bye","74","20","0","0","0","0","0","0","0","0","0","0","371","53.0"
"Rex Burkhead","RB","HOU","10","0","8","3","0","5","4","30","21","bye","27","35","24","36","38","42","44","40","367","24.5"
"Tyler Kroft","TE","NYJ","43","55","23","46","0","bye","0","51","15","0","0","0","0","0","36","50","0","44","363","40.3"
"Dan Arnold","TE","Multi","33","22","27","18","52","41","0","55","35","45","30","5","0","0","0","0","0","0","363","33.0"
"Trevor Siemian","QB","NO","0","0","0","0","0","bye","0","56","73","62","65","57","0","0","0","0","0","46","359","59.8"
"Nyheim Hines","RB","IND","34","25","34","22","26","11","19","25","28","18","13","25","14","bye","10","18","21","9","352","20.7"
"Josiah Deguara","TE","GB","0","0","17","24","0","15","11","16","15","25","27","35","bye","37","35","33","30","29","349","24.9"
"Randall Cobb","WR","GB","15","12","21","33","35","0","35","50","33","50","45","19","bye","0","0","0","0","0","348","31.6"
"Sterling Shepard","WR","NYG","58","64","24","0","0","68","0","23","0","bye","0","0","0","56","51","0","0","0","344","49.1"
"J.D. McKissic","RB","WAS","20","31","25","27","34","36","46","32","bye","28","31","33","0","0","0","0","0","0","343","31.2"
"Brandon Bolden","RB","NE","2","0","33","19","24","11","21","25","29","18","17","19","6","bye","38","34","18","28","342","21.4"
"Clyde Edwards-Helaire","RB","KC","47","33","49","35","22","0","0","0","0","0","32","bye","29","23","51","21","0","0","342","34.2"
"Mack Hollins","WR","MIA","7","16","24","0","14","68","39","4","60","13","22","19","9","bye","13","11","12","7","338","21.1"
"T.Y. Hilton","WR","IND","0","0","0","0","0","24","0","35","0","39","28","42","32","bye","14","47","36","40","337","33.7"
"Henry Ruggs III","WR","LV","56","44","48","46","56","37","47","bye","0","0","0","0","0","0","0","0","0","0","334","47.7"
"C.J. Ham","RB","MIN","25","0","22","21","32","21","bye","26","21","27","23","20","25","0","25","20","9","13","330","22.0"
"Tyrod Taylor","QB","HOU","78","26","0","0","0","0","0","0","69","bye","64","57","29","0","0","0","0","0","323","53.8"
"Jauan Jennings","WR","SF","0","6","0","8","0","bye","9","7","0","32","33","26","29","47","25","27","30","44","323","24.8"
"Jordan Akins","TE","HOU","47","38","34","18","27","32","29","39","25","bye","0","0","0","12","20","1","0","0","322","26.8"
"D'Ernest Johnson","RB","CLE","0","0","5","0","0","12","49","18","16","52","26","0","bye","14","18","26","39","47","322","24.8"
"Brandon Zylstra","WR","CAR","0","14","19","13","11","36","0","0","0","33","24","28","bye","36","54","0","3","50","321","26.8"
"Albert Wilson","WR","MIA","22","41","0","25","0","23","0","0","17","38","38","35","40","bye","41","0","0","0","320","32.0"
"Ashton Dulin","WR","IND","6","26","7","12","23","13","43","29","23","7","20","4","22","bye","28","28","27","0","318","19.9"
"David Johnson","RB","HOU","22","26","21","27","31","32","30","11","31","bye","35","22","0","0","12","0","0","17","317","24.4"
"Jamaal Williams","RB","DET","32","22","31","21","22","19","20","0","bye","0","13","31","34","0","0","28","20","24","317","24.4"
"Zach Gentry","TE","PIT","16","0","0","11","22","0","bye","45","0","0","0","22","30","0","37","49","41","44","317","31.7"
"O.J. Howard","TE","TB","0","11","14","51","44","49","37","28","bye","28","20","0","0","0","10","24","0","0","316","28.7"
"Mike Glennon","QB","NYG","0","0","0","0","39","0","0","0","0","bye","0","0","65","69","50","36","56","0","315","52.5"
"Ameer Abdullah","RB","Multi","9","1","22","5","12","0","0","22","22","16","8","27","0","38","40","23","29","40","314","18.5"
"Khalil Herbert","RB","CHI","1","0","2","7","34","54","51","59","10","bye","7","10","22","5","17","8","9","17","313","19.6"
"Robert Tonyan","TE","GB","28","28","46","56","38","37","38","35","0","0","0","0","bye","0","0","0","0","0","306","38.3"
"Adam Shaheen","TE","MIA","0","20","28","20","21","0","51","41","36","38","46","0","0","bye","0","0","0","0","301","33.4"
"Ty Montgomery","RB","NO","16","14","13","34","25","bye","12","33","0","6","0","29","36","0","20","24","8","30","300","21.4"
"Calvin Ridley","WR","ATL","61","60","59","73","0","bye","46","0","0","0","0","0","0","0","0","0","0","0","299","59.8"
"Deonte Harty","WR","NO","27","21","19","33","2","bye","0","24","23","26","27","23","28","0","0","0","24","21","298","22.9"
"Kenneth Gainwell","RB","PHI","25","19","18","29","16","12","35","20","11","20","0","11","27","bye","6","2","8","39","298","18.6"
"DeSean Jackson","WR","Multi","14","0","21","22","20","16","4","0","0","9","16","42","24","32","20","36","16","0","292","20.9"
"Carlos Hyde","RB","JAC","25","14","23","0","18","9","bye","50","48","18","14","32","29","12","0","0","0","0","292","24.3"
"Logan Thomas","TE","WAS","55","71","54","0","0","0","0","0","bye","0","0","66","43","0","0","0","0","0","289","57.8"
"Equanimeous St. Brown","WR","GB","0","6","0","11","12","12","12","67","0","0","21","26","bye","5","0","48","18","51","289","24.1"
"N'Keal Harry","WR","NE","0","0","0","15","22","0","30","27","0","35","26","0","25","bye","36","61","0","12","289","28.9"
"Stephen Anderson","TE","LAC","20","15","0","23","15","12","bye","7","31","7","0","6","22","17","38","22","52","0","287","20.5"
"James O'Shaughnessy","TE","JAC","59","3","0","0","0","0","bye","0","0","0","0","59","39","40","44","42","0","0","286","40.9"
"Kadarius Toney","WR","NYG","5","0","46","49","37","6","0","34","31","bye","35","0","0","0","0","39","0","0","282","31.3"
"Anthony Schwartz","WR","CLE","31","30","28","15","9","26","29","6","28","9","0","0","bye","0","0","11","24","36","282","21.7"
"Tavon Austin","WR","JAC","0","0","0","41","24","17","bye","28","0","14","12","13","16","26","16","43","31","0","281","23.4"
"Dyami Brown","WR","WAS","51","62","35","28","0","47","0","0","bye","0","0","0","6","23","9","13","7","0","281","28.1"
"Kenyan Drake","RB","LV","41","47","36","20","12","12","26","bye","31","17","15","16","7","0","0","0","0","0","280","23.3"
"Samaje Perine","RB","CIN","15","3","10","16","41","0","30","14","25","bye","11","10","26","28","16","11","20","0","276","18.4"
"Blake Jarwin","TE","DAL","48","29","43","33","31","47","bye","32","0","0","0","0","0","0","0","0","0","12","275","34.4"
"Noah Brown","WR","DAL","0","0","22","21","23","18","bye","13","25","28","43","69","12","0","0","0","0","0","274","27.4"
"Christian McCaffrey","RB","CAR","57","54","22","0","0","0","0","0","29","44","46","20","bye","0","0","0","0","0","272","38.9"
"Brock Wright","TE","DET","0","0","0","0","0","0","17","0","bye","36","13","0","29","35","49","49","0","42","270","33.8"
"Denzel Mims","WR","NYJ","3","0","0","0","8","bye","20","59","46","0","0","0","21","22","23","32","0","35","269","26.9"
"Antonio Brown","WR","TB","42","28","0","40","42","37","0","0","bye","0","0","0","0","0","0","53","26","0","268","38.3"
"Jeremy McNichols","RB","TEN","23","21","18","40","15","0","10","17","26","16","0","0","bye","27","23","26","6","0","268","20.6"
"Cam Sims","WR","WAS","2","0","20","5","0","0","0","15","bye","13","11","12","0","40","25","37","47","39","266","22.2"
"Rhamondre Stevenson","RB","NE","5","0","0","0","22","18","0","12","17","37","22","20","32","bye","31","0","40","9","265","22.1"
"Blake Bell","TE","KC","19","20","23","0","17","0","0","24","26","24","23","bye","0","0","16","25","24","21","262","21.8"
"Drew Sample","TE","CIN","0","0","21","0","21","39","0","0","38","bye","37","0","0","18","16","32","23","17","262","26.2"
"Jamal Agnew","WR","JAC","10","4","6","8","45","39","bye","55","33","50","10","0","0","0","0","0","0","0","260","26.0"
"Alex Collins","RB","SEA","0","6","14","22","46","39","22","27","bye","30","18","19","0","14","0","0","0","0","257","23.4"
"Isaiah McKenzie","WR","BUF","15","13","15","4","8","4","bye","13","19","13","9","0","0","11","20","67","24","22","257","17.1"
"Rashaad Penny","RB","SEA","7","0","0","0","0","0","20","11","bye","0","8","0","29","35","24","30","46","43","253","25.3"
"Cam Newton","QB","CAR","0","0","0","0","0","0","0","0","0","9","51","40","bye","48","76","26","1","1","252","31.5"
"Eric Ebron","TE","PIT","27","24","47","28","25","34","bye","0","0","29","32","0","0","0","0","0","0","0","246","30.8"
"Chris Manhertz","TE","JAC","26","27","25","24","0","30","bye","0","27","24","0","27","0","0","18","0","16","0","244","24.4"
"Mohamed Sanu Sr.","WR","SF","20","20","45","39","30","bye","28","25","33","0","0","0","0","0","0","0","0","0","240","30.0"
"KhaDarel Hodge","WR","DET","0","0","5","8","44","52","33","16","bye","4","0","3","7","8","0","8","48","0","236","19.7"
"Kareem Hunt","RB","CLE","28","23","33","41","32","41","0","0","0","0","0","23","bye","13","0","0","0","0","234","29.3"
"Drew Lock","QB","DEN","0","0","0","30","0","0","0","0","0","0","bye","19","0","0","32","42","57","54","234","39.0"
"Trinity Benson","WR","DET","49","24","24","20","21","0","0","0","bye","48","0","0","0","0","0","0","48","0","234","33.4"
"Kendall Hinton","WR","DEN","0","5","0","26","39","51","24","2","22","0","bye","4","14","0","11","0","36","0","234","21.3"
"Lee Smith","TE","ATL","0","13","26","0","34","bye","26","18","0","0","22","29","16","34","13","0","0","0","231","23.1"
"Justin Jackson","RB","LAC","11","16","7","11","0","8","bye","7","0","0","5","0","16","20","43","45","25","17","231","16.5"
"D'Onta Foreman","RB","TEN","0","0","0","0","0","0","0","0","12","21","15","31","bye","23","31","21","41","35","230","25.6"
"Nick Vannett","TE","NO","0","0","0","0","0","bye","0","0","0","0","18","21","42","51","35","41","0","20","228","32.6"
"Jeff Wilson Jr.","RB","SF","0","0","0","0","0","bye","0","0","0","22","40","10","2","42","50","44","12","6","228","25.3"
"Trent Sherfield","WR","SF","27","24","0","22","0","bye","16","0","0","0","11","20","57","13","5","12","8","10","225","18.8"
"JuJu Smith-Schuster","WR","PIT","53","54","33","57","25","0","bye","0","0","0","0","0","0","0","0","0","0","0","222","44.4"
"Maxx Williams","TE","ARI","55","45","51","45","25","0","0","0","0","0","0","bye","0","0","0","0","0","0","221","44.2"
"Eric Saubert","TE","DEN","22","24","24","8","0","28","21","0","49","6","bye","19","0","0","0","0","19","0","220","22.0"
"Boston Scott","RB","PHI","0","0","4","0","0","0","23","29","25","20","29","34","3","bye","0","20","32","0","219","19.9"
"Ronald Jones II","RB","TB","6","26","12","13","10","14","14","9","bye","0","15","12","2","8","22","35","20","0","218","14.5"
"Darrell Daniels","TE","ARI","15","19","23","0","0","25","0","1","32","17","29","bye","0","0","0","0","32","24","217","21.7"
"Royce Freeman","RB","Multi","0","0","11","12","14","23","29","11","0","0","0","0","22","44","9","24","15","1","215","17.9"
"Chris Moore","WR","HOU","0","0","2","0","37","49","0","15","16","bye","16","11","0","0","0","31","0","37","214","21.4"
"Quintez Cephus","WR","DET","32","51","45","62","22","0","0","0","bye","0","0","0","0","0","0","0","0","0","212","42.4"
"Juwan Johnson","TE","NO","12","18","8","14","6","bye","20","17","0","10","0","0","24","23","22","0","27","11","212","16.3"
"Dede Westbrook","WR","MIN","15","2","6","8","14","12","bye","0","2","5","11","5","32","29","0","27","38","5","211","14.1"
"Mike White","QB","NYJ","0","0","0","0","0","bye","47","79","14","71","0","0","0","0","0","0","0","0","211","52.8"
"Colt McCoy","QB","ARI","0","0","0","2","0","7","5","0","68","33","83","bye","0","0","11","0","0","0","209","29.9"
"John Ross","WR","NYG","0","0","0","28","41","32","37","16","0","bye","11","11","21","11","0","0","0","0","208","23.1"
"Keith Smith","RB","ATL","21","18","22","16","14","bye","11","0","0","19","19","13","21","0","0","12","12","9","207","15.9"
"Luke Farrell","TE","JAC","0","36","17","16","8","17","bye","18","29","0","0","0","0","0","0","0","34","32","207","23.0"
"Brevin Jordan","TE","HOU","0","0","0","0","0","0","0","15","20","bye","18","34","22","29","0","32","35","0","205","25.6"
"Geno Smith","QB","SEA","0","0","0","0","25","65","56","57","bye","0","0","0","0","0","0","0","0","0","203","50.8"
"Marcus Johnson","WR","TEN","0","0","0","0","48","20","29","48","3","38","14","0","bye","0","0","0","0","0","200","28.6"
"Dontrell Hilliard","RB","TEN","0","0","0","0","0","0","0","0","0","0","51","32","bye","24","29","13","15","34","198","24.8"
"Jeff Smith","WR","NYJ","9","20","6","0","0","bye","0","20","22","0","0","0","15","0","0","13","59","34","198","22.0"
"Danny Amendola","WR","HOU","17","12","0","0","0","0","24","39","34","bye","13","22","0","0","0","0","0","30","191","23.9"
"Greg Ward","WR","PHI","0","21","16","22","11","0","0","32","1","0","0","7","0","bye","22","0","13","43","188","18.8"
"Tommy Sweeney","TE","BUF","0","0","14","0","10","11","bye","60","58","0","13","0","0","0","22","0","0","0","188","26.9"
"Dare Ogunbowale","RB","JAC","0","0","0","3","5","0","bye","15","8","0","0","1","0","4","10","60","31","46","183","14.1"
"Lil'Jordan Humphrey","WR","NO","0","24","0","0","0","bye","13","0","0","0","16","27","30","0","0","28","37","7","182","22.8"
"Travis Homer","RB","SEA","2","14","16","9","8","5","12","17","bye","31","5","0","21","0","0","4","24","13","181","12.9"
"Tevin Coleman","RB","NYJ","17","7","0","11","5","bye","0","0","0","17","20","30","23","0","21","19","0","10","180","16.4"
"Tim Boyle","QB","DET","0","0","0","0","0","0","0","0","bye","0","48","0","0","0","0","67","63","1","179","44.8"
"Trey Lance","QB","SF","4","0","3","39","65","bye","0","0","0","0","5","0","0","0","0","0","62","0","178","29.7"
"Parris Campbell","WR","IND","46","0","49","31","38","5","0","0","0","0","0","0","0","bye","0","0","0","8","177","29.5"
"Jimmy Graham","TE","CHI","14","0","7","0","0","0","0","0","18","bye","12","14","21","12","19","21","17","20","175","15.9"
"Ben Skowronek","WR","LAR","0","0","2","0","0","11","1","20","0","42","bye","0","16","14","21","4","27","17","175","14.6"
"Jacob Hollister","TE","JAC","0","0","46","11","15","5","bye","0","0","0","0","0","0","0","20","36","0","41","174","24.9"
"Kenny Stills","WR","NO","0","0","29","17","40","bye","32","0","25","0","0","0","11","0","0","17","0","0","171","24.4"
"Collin Johnson","WR","NYG","0","0","34","5","30","43","21","24","0","bye","7","0","0","0","7","0","0","0","171","21.4"
"Jack Stoll","TE","PHI","0","6","0","0","0","0","0","42","0","42","17","0","0","bye","38","26","0","0","171","28.5"
"Le'Veon Bell","RB","Multi","0","0","0","20","0","22","22","0","23","31","0","0","0","0","0","3","26","23","170","21.3"
"Case Keenum","QB","CLE","0","0","5","0","0","4","71","0","0","23","0","0","bye","0","0","0","0","66","169","33.8"
"DJ Chark Jr.","WR","JAC","63","45","59","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","167","55.7"
"Damien Williams","RB","CHI","30","15","7","19","31","0","11","4","0","bye","0","0","0","7","5","9","12","16","166","13.8"
"Eric Tomlinson","TE","BAL","19","0","0","0","0","0","0","bye","34","0","12","27","25","0","0","12","0","37","166","23.7"
"Salvon Ahmed","RB","MIA","11","23","0","5","11","19","22","16","14","9","0","13","22","bye","0","0","0","0","165","15.0"
"Dee Eskridge","WR","SEA","12","0","0","0","0","0","0","0","bye","5","0","13","22","28","40","20","24","0","164","20.5"
"Kylen Granson","TE","IND","0","0","0","30","8","0","5","10","4","12","24","9","30","bye","0","32","0","0","164","16.4"
"Josh Gordon","WR","KC","0","0","0","0","9","0","8","32","19","0","29","bye","0","24","0","8","12","21","162","18.0"
"DeeJay Dallas","RB","SEA","3","0","0","1","14","22","1","2","bye","0","18","28","2","11","33","22","2","2","161","9.5"
"Phillip Lindsay","RB","Multi","20","14","9","8","13","11","4","8","14","0","2","15","0","0","0","19","7","15","159","11.4"
"Gardner Minshew II","QB","PHI","0","0","0","0","0","0","0","14","0","0","0","0","71","bye","0","0","0","74","159","53.0"
"Charlie Woerner","TE","SF","0","0","0","0","21","bye","30","45","0","0","0","19","7","14","13","0","10","0","159","19.9"
"Preston Williams","WR","MIA","0","22","0","0","40","0","30","0","0","18","25","23","0","bye","0","0","0","0","158","26.3"
"Ty'Son Williams","RB","BAL","35","37","29","0","14","0","21","bye","18","0","0","2","0","0","0","0","0","2","158","19.8"
"Noah Gray","TE","KC","0","0","11","18","0","0","22","0","0","25","18","bye","0","0","0","50","10","0","154","22.0"
"Jordan Howard","RB","PHI","0","0","0","0","0","0","0","16","23","24","13","0","0","bye","34","22","21","0","153","21.9"
"James Proche II","WR","BAL","0","0","13","24","50","5","16","bye","0","0","0","0","0","0","16","28","0","0","152","21.7"
"Tre' McKitty","TE","LAC","0","0","0","0","0","0","bye","0","0","0","18","21","0","0","41","15","35","22","152","25.3"
"Breshad Perriman","WR","TB","0","0","0","0","0","0","0","0","bye","0","18","0","59","26","0","0","11","37","151","30.2"
"Jaret Patterson","RB","WAS","4","0","0","5","5","2","0","16","bye","5","13","3","4","12","10","15","39","17","150","10.7"
"Duke Johnson Jr.","RB","MIA","0","0","0","0","0","0","0","0","0","0","6","0","0","bye","41","23","36","43","149","29.8"
"Pharoh Cooper","WR","NYG","0","0","0","0","0","0","0","0","2","bye","13","35","27","13","3","36","19","0","148","18.5"
"Jerick McKinnon","RB","KC","0","4","0","8","27","23","22","0","20","20","0","bye","0","0","0","0","0","23","147","16.3"
"Jakeem Grant Sr.","WR","Multi","7","7","2","0","2","2","0","6","1","0","8","19","48","29","10","0","6","0","147","10.5"
"Cody Hollister","WR","TEN","0","0","0","0","0","0","0","0","0","0","0","48","bye","43","56","0","0","0","147","49.0"
"Dax Milne","WR","WAS","0","0","0","0","34","12","29","21","bye","20","12","0","0","0","6","7","6","0","147","16.3"
"Jakob Johnson","RB","NE","0","0","0","16","0","0","28","22","0","0","26","0","0","bye","10","16","25","0","143","20.4"
"Giovani Bernard","RB","TB","17","6","33","0","17","12","11","13","bye","14","8","0","7","0","0","0","0","0","138","13.8"
"Demetrius Harris","TE","ARI","23","2","7","9","0","20","21","10","0","0","0","bye","17","0","8","21","0","0","138","13.8"
"Josh Oliver","TE","BAL","5","12","11","14","12","19","19","bye","0","10","0","0","8","9","0","0","0","19","138","12.5"
"Trevon Wesco","TE","NYJ","0","0","0","18","24","bye","16","0","15","8","0","21","0","0","14","22","0","0","138","17.3"
"Juwann Winfree","WR","GB","0","0","0","0","0","0","0","54","0","0","0","0","bye","0","15","8","14","44","135","27.0"
"Joshua Kelley","RB","LAC","0","0","0","0","26","18","bye","0","17","8","0","16","0","19","13","17","0","0","134","16.8"
"Tony Jones Jr.","RB","NO","22","12","13","9","0","bye","0","0","0","0","10","21","0","20","0","2","9","14","132","13.2"
"Jordan Love","QB","GB","15","3","0","0","0","0","0","0","63","0","1","0","bye","0","0","0","12","37","131","21.8"
"Demetric Felton Jr.","RB","CLE","0","3","11","6","3","12","22","9","6","0","12","1","bye","6","29","4","0","5","129","8.6"
"Josh Johnson","QB","Multi","0","0","0","0","0","0","0","5","63","0","0","1","0","0","0","59","0","0","128","32.0"
"PJ Walker","QB","CAR","0","0","0","0","0","0","19","10","0","66","0","15","bye","16","0","0","0","0","126","25.2"
"Malcolm Brown","RB","MIA","16","9","34","35","0","25","5","0","0","0","0","0","0","bye","0","0","0","0","124","20.7"
"Chris Carson","RB","SEA","42","34","23","25","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","124","31.0"
"Scotty Miller","WR","TB","0","12","32","0","0","0","0","0","bye","0","0","4","0","0","58","3","0","14","123","20.5"
"Stanley Morgan Jr.","WR","CIN","0","0","0","0","0","0","0","0","14","bye","12","22","5","13","0","15","7","33","121","11.0"
"Elijhaa Penny","RB","NYG","3","3","8","0","6","15","22","7","16","bye","0","5","0","5","2","13","0","15","120","9.2"
"Penny Hart","WR","SEA","2","0","8","0","12","11","10","16","bye","17","4","0","9","9","0","6","16","0","120","10.0"
"Mike Thomas","WR","CIN","16","0","10","18","0","0","0","0","10","bye","8","13","0","0","0","0","0","44","119","17.0"
"Craig Reynolds","RB","DET","0","0","0","0","0","0","0","0","bye","0","0","0","0","29","42","27","14","6","118","23.6"
"Colby Parkinson","TE","SEA","0","0","0","0","35","0","0","0","bye","0","4","0","0","0","1","22","20","36","118","19.7"
"J.J. Arcega-Whiteside","WR","PHI","16","0","0","11","0","0","8","0","0","0","12","15","0","bye","0","13","0","42","117","16.7"
"Jesse James","TE","CHI","0","0","1","0","0","0","26","38","0","bye","0","23","0","0","0","0","28","0","116","23.2"
"Peyton Barber","RB","LV","0","19","47","1","0","0","0","bye","0","0","1","0","5","7","13","12","11","0","116","12.9"
"Alec Ingold","RB","LV","23","17","28","0","0","15","17","bye","14","2","0","0","0","0","0","0","0","0","116","16.6"
"Dominique Dafney","TE","GB","19","0","0","0","0","0","0","0","25","0","16","20","bye","0","0","0","19","15","114","19.0"
"Kaden Smith","TE","NYG","29","32","28","0","24","0","0","0","0","bye","0","0","0","0","0","0","0","0","113","28.3"
"Derrick Gore","RB","KC","0","0","0","0","0","0","5","16","10","11","0","bye","0","20","0","19","8","24","113","14.1"
"Jake Fromm","QB","NYG","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","13","40","0","60","113","37.7"
"Ke'Shawn Vaughn","RB","TB","0","0","0","0","0","0","8","0","bye","0","9","0","0","0","19","24","24","27","111","18.5"
"Cooper Rush","QB","DAL","0","0","0","0","0","0","bye","73","0","14","0","0","0","0","0","12","0","11","110","27.5"
"Isaiah Ford","WR","MIA","0","0","0","0","3","5","19","8","0","11","0","12","14","bye","19","0","17","0","108","12.0"
"Cyril Grayson Jr.","WR","TB","0","0","0","0","0","0","0","8","bye","0","0","0","0","0","0","53","47","0","108","36.0"
"Kendall Blanton","TE","LAR","0","0","0","0","0","0","0","0","0","2","bye","0","10","52","43","0","0","0","107","26.8"
"Trey Sermon","RB","SF","0","1","41","39","2","bye","0","0","0","0","24","0","0","0","0","0","0","0","107","17.8"
