"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Larry Rountree III","RB","LAC","22","10","11","22","0","0","bye","8","6","9","19","0","0","0","0","0","0","0","107","11.9"
"Benny Snell Jr.","RB","PIT","0","3","0","8","13","0","bye","2","6","6","8","7","2","3","0","16","3","29","106","6.6"
"Jalen Richard","RB","LV","0","0","0","0","10","8","16","bye","5","6","0","0","0","0","11","10","13","24","103","11.4"
"Garrett Griffin","TE","NO","0","0","0","17","17","bye","0","27","0","0","10","0","32","0","0","0","0","0","103","20.6"
"Ross Dwelley","TE","SF","0","0","0","8","59","bye","27","0","0","9","0","0","0","0","0","0","0","0","103","25.8"
"Giovanni Ricci","TE","CAR","0","15","0","0","11","0","0","16","0","28","0","4","bye","0","5","6","9","9","103","11.4"
"Reggie Gilliam","RB","BUF","0","14","11","18","0","4","bye","0","0","22","7","0","0","0","0","9","0","18","103","12.9"
"Dazz Newsome","WR","CHI","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","48","34","0","21","103","34.3"
"Amari Rodgers","WR","GB","15","0","2","7","5","6","4","16","0","4","1","2","bye","10","0","0","0","31","103","6.4"
"Luke Stocker","TE","MIN","0","0","0","0","0","0","bye","17","18","20","0","0","13","0","19","0","0","14","101","16.8"
"Tyler Davis","TE","GB","0","0","0","0","4","0","1","0","0","12","0","0","bye","9","19","0","32","24","101","12.6"
"Christian Blake","WR","ATL","0","13","0","3","16","bye","0","0","3","17","0","0","0","0","7","12","26","3","100","10.0"
"Tom Kennedy","WR","DET","0","0","0","0","0","8","0","14","bye","0","0","0","0","17","0","21","24","16","100","16.7"
"Antony Auclair","TE","HOU","0","0","0","0","20","0","0","0","36","bye","0","0","0","22","0","0","0","20","98","24.5"
"Godwin Igwebuike","RB","DET","0","0","0","0","0","0","0","11","bye","4","1","4","28","28","12","10","0","0","98","6.5"
"David Sills V","WR","NYG","0","0","0","0","0","0","27","0","0","bye","0","0","0","0","0","15","40","16","98","24.5"
"Mason Rudolph","QB","PIT","0","0","0","0","0","0","bye","0","0","87","0","0","0","0","0","10","0","0","97","48.5"
"Anthony Miller","WR","Multi","0","0","35","35","0","0","0","0","0","0","0","25","0","0","0","0","0","0","95","31.7"
"Eno Benjamin","RB","ARI","0","0","0","0","0","0","4","0","17","15","18","bye","4","0","0","0","9","25","92","11.5"
"Phillip Dorsett II","WR","Multi","0","0","7","0","0","7","0","0","0","0","0","0","0","39","15","23","0","0","91","18.2"
"Adam Prentice","RB","NO","0","0","0","0","0","bye","0","0","0","0","0","15","0","20","0","11","20","25","91","18.2"
"Chris Herndon IV","TE","MIN","12","0","0","0","7","24","bye","15","0","23","0","0","0","9","0","0","0","0","90","15.0"
"Dez Fitzpatrick","WR","TEN","0","0","0","0","0","0","0","0","0","13","64","12","bye","0","0","0","0","0","89","29.7"
"Jaelon Darden","WR","TB","0","0","3","0","0","0","13","9","bye","4","8","0","0","3","41","0","0","8","89","9.9"
"KJ Hamler","WR","DEN","24","49","15","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","88","29.3"
"Malik Turner","WR","DAL","0","0","0","0","0","1","bye","0","18","23","8","0","18","0","6","13","0","0","87","12.4"
"Sean McKeon","TE","DAL","0","0","0","0","0","0","bye","0","12","36","9","12","0","0","0","17","0","0","86","17.2"
"Brandon Allen","QB","CIN","0","0","0","0","0","13","0","0","6","bye","0","10","0","0","0","0","2","54","85","17.0"
"Chris Evans","RB","CIN","0","2","5","0","7","16","0","0","3","bye","10","9","0","0","0","3","0","30","85","9.4"
"Curtis Samuel","WR","WAS","0","0","0","25","5","0","0","0","bye","0","0","20","20","14","0","0","0","0","84","16.8"
"Auden Tate","WR","CIN","0","0","27","20","13","24","0","0","0","bye","0","0","0","0","0","0","0","0","84","21.0"
"Dante Pettis","WR","NYG","0","0","0","0","0","46","35","1","0","bye","0","0","0","0","0","0","0","0","82","27.3"
"Shane Zylstra","TE","DET","0","0","0","0","0","0","0","0","bye","0","0","0","0","40","29","13","0","0","82","27.3"
"Darren Fells","TE","Multi","27","0","26","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","81","27.0"
"C.J. Board","WR","NYG","6","6","22","19","21","6","0","0","0","bye","0","0","0","0","0","0","0","0","80","13.3"
"Ja'Marcus Bradley","WR","CLE","0","0","0","0","0","0","0","0","0","0","55","21","bye","0","0","0","0","3","79","19.8"
"Jeremy Sprinkle","TE","DAL","0","0","0","14","0","8","bye","0","0","0","0","0","0","0","17","17","0","22","78","13.0"
"Matt Breida","RB","BUF","10","0","0","0","0","0","bye","0","0","8","18","21","7","11","3","0","0","0","78","11.1"
"Corey Clement","RB","DAL","1","0","3","0","0","0","bye","0","5","13","0","0","0","31","0","7","0","17","77","7.0"
"Parker Hesse","TE","ATL","0","6","0","0","0","bye","0","0","0","0","11","23","0","0","0","0","37","0","77","19.3"
"Nick Foles","QB","CHI","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","74","0","0","74","74.0"
"Keith Kirkwood","WR","CAR","0","0","0","0","0","0","29","35","0","0","0","0","bye","0","0","0","0","10","74","24.7"
"Adrian Peterson","RB","Multi","0","0","0","0","0","0","0","0","19","20","15","0","18","0","0","0","0","0","72","18.0"
"Racey McMath","WR","TEN","0","1","17","0","0","0","0","0","0","0","0","0","bye","10","22","10","0","12","72","12.0"
"Ihmir Smith-Marsette","WR","MIN","4","0","0","0","0","0","bye","11","0","0","0","0","0","0","31","0","0","24","70","11.7"
"Shi Smith","WR","CAR","0","0","0","0","0","8","20","24","0","0","0","0","bye","0","0","15","3","0","70","14.0"
"Qadree Ollison","RB","ATL","0","0","0","0","0","bye","0","0","0","0","26","0","13","6","3","0","5","16","69","11.5"
"Chris Hogan","WR","NO","14","16","16","14","8","bye","0","0","0","0","0","0","0","0","0","0","0","0","68","13.6"
"Trenton Irwin","WR","CIN","0","0","0","16","0","11","3","0","0","bye","0","0","5","0","0","0","0","33","68","13.6"
"Cody White","WR","PIT","0","0","9","0","16","0","bye","0","2","12","0","0","1","0","0","28","0","0","68","11.3"
"Tyree Jackson","TE","PHI","0","0","0","0","0","0","0","0","0","0","14","0","0","bye","0","14","0","39","67","22.3"
"Joe Flacco","QB","NYJ","0","0","0","0","0","bye","0","0","0","6","60","0","0","0","0","0","0","0","66","33.0"
"Johnny Mundt","TE","LAR","15","0","31","20","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","66","22.0"
"Gunner Olszewski","WR","NE","11","5","16","0","0","1","9","0","1","0","0","0","0","bye","3","4","14","2","66","4.1"
"William Fuller V","WR","MIA","0","0","51","14","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","65","32.5"
"Tommy Hudson","TE","TEN","0","21","21","18","0","0","0","0","0","0","5","0","bye","0","0","0","0","0","65","16.3"
"James White","RB","NE","28","29","6","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","63","21.0"
"Jake Kumerow","WR","BUF","0","5","0","12","0","1","bye","0","0","0","0","0","0","5","0","16","13","10","62","8.9"
"Cameron Batson","WR","TEN","0","0","27","25","10","0","0","0","0","0","0","0","bye","0","0","0","0","0","62","15.5"
"Kalen Ballage","RB","PIT","0","0","0","0","10","12","bye","3","7","5","9","8","0","0","0","0","0","7","61","6.8"
"Patrick Taylor Jr.","RB","GB","0","0","0","0","0","0","0","0","0","3","15","0","bye","0","0","0","12","31","61","12.2"
"Kristian Wilkerson","WR","NE","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","60","0","60","60.0"
"Michael Burton","RB","KC","5","5","0","4","2","6","0","0","0","0","0","bye","7","5","6","13","6","0","59","5.9"
"Alex Erickson","WR","CAR","2","8","6","8","5","12","1","3","2","1","2","1","bye","0","0","3","0","5","59","3.5"
"Derek Watt","RB","PIT","4","0","7","2","9","6","bye","0","7","6","0","2","6","5","0","0","5","0","59","5.4"
"Marlon Mack","RB","IND","0","13","0","22","10","9","4","1","0","0","0","0","0","bye","0","0","0","0","59","9.8"
"Marcus Kemp","WR","KC","5","0","7","2","4","6","6","2","0","4","0","bye","4","4","0","11","3","0","58","4.8"
"Tylan Wallace","WR","BAL","0","0","0","1","3","2","2","bye","0","0","0","3","1","0","14","27","0","5","58","5.8"
"Nick Mullens","QB","CLE","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","56","0","0","0","56","56.0"
"Garrett Gilbert","QB","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","55","0","0","0","55","55.0"
"Jonathan Williams","RB","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","0","10","2","24","8","11","55","11.0"
"Austin Walter","RB","NYJ","0","0","0","0","0","bye","0","0","0","0","0","16","8","0","6","0","25","0","55","13.8"
"Chris Myarick","TE","NYG","0","0","0","0","0","0","0","0","0","bye","14","24","0","7","0","10","0","0","55","13.8"
"Diontae Spencer","WR","DEN","0","4","24","3","2","2","4","0","0","1","bye","1","4","3","2","1","3","0","54","3.6"
"Andy Janovich","RB","CLE","11","11","0","5","0","0","0","0","4","0","0","0","bye","16","0","6","0","0","53","8.8"
"J.J. Taylor","RB","NE","0","5","10","4","0","0","20","0","0","13","0","0","0","bye","0","0","0","0","52","10.4"
"Mike Strachan","WR","IND","18","34","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","52","26.0"
"Sean Mannion","QB","MIN","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","51","0","51","51.0"
"Mitchell Wilcox","TE","CIN","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","1","3","0","47","51","12.8"
"Kenny Yeboah","TE","NYJ","0","0","0","0","0","bye","0","0","0","0","0","0","14","0","0","0","37","0","51","17.0"
"Ian Book","QB","NO","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","50","0","0","50","50.0"
"Tory Carter","RB","TEN","0","0","3","0","0","0","0","8","0","9","9","20","bye","0","0","0","0","0","49","9.8"
"Nick Boyle","TE","BAL","0","0","0","0","0","0","0","bye","0","0","32","0","0","0","0","0","16","0","48","24.0"
"Alex Armah Jr.","RB","Multi","0","2","7","3","0","0","10","9","10","0","3","0","0","0","2","0","0","1","47","5.2"
"Tyron Johnson","WR","LV","9","7","0","9","0","0","0","13","0","0","0","0","0","1","0","0","4","4","47","6.7"
"D.J. Montgomery","WR","NYJ","0","0","0","0","0","bye","0","0","0","0","0","0","0","39","0","8","0","0","47","23.5"
"Wayne Gallman Jr.","RB","Multi","0","0","0","10","3","0","3","0","0","23","2","5","0","0","0","0","0","0","46","6.6"
"Khari Blasingame","RB","TEN","9","0","0","0","0","9","0","0","0","0","0","5","bye","0","0","9","0","14","46","9.2"
"Jason Moore Jr.","WR","LAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","45","0","0","45","45.0"
"Blaine Gabbert","QB","TB","0","3","0","0","12","0","8","0","bye","0","9","0","0","0","0","3","0","9","44","7.3"
"Seth Williams","WR","DEN","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","43","0","43","43.0"
"Gabe Nabers","RB","LAC","9","2","9","5","0","3","bye","0","0","0","0","0","0","0","4","0","10","0","42","6.0"
"Hunter Long","TE","MIA","0","0","0","0","0","9","0","0","0","0","0","0","10","bye","23","0","0","0","42","14.0"
"Brian Hoyer","QB","NE","0","0","0","0","0","0","12","0","6","9","0","1","0","bye","0","0","13","0","41","8.2"
"Willie Snead IV","WR","Multi","2","4","0","5","6","6","0","0","17","0","0","0","0","0","1","0","0","0","41","5.9"
"Kevin White","WR","NO","0","0","0","0","0","bye","8","9","15","9","0","0","0","0","0","0","0","0","41","10.3"
"JaMycal Hasty","RB","SF","16","25","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","41","20.5"
"Jonathan Ward","RB","ARI","0","0","0","0","0","7","1","0","0","0","0","bye","0","0","11","9","8","5","41","4.6"
"Tyrell Williams","WR","DET","39","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","39","39.0"
"Richard Rodgers","TE","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","38","38","38.0"
"Dezmon Patmon","WR","IND","0","0","0","0","0","0","0","0","20","0","9","0","0","bye","0","5","4","0","38","9.5"
"J.P. Holtz","TE","CHI","0","0","0","11","0","0","0","6","0","bye","0","5","0","2","0","13","0","0","37","7.4"
"Kyle Allen","QB","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","0","20","0","17","0","0","37","18.5"
"Patrick Laird","RB","MIA","0","0","0","0","0","0","0","10","0","16","11","0","0","bye","0","0","0","0","37","12.3"
"Ben Ellefson","TE","MIN","0","16","0","0","14","0","bye","0","0","0","0","0","0","0","0","0","0","7","37","12.3"
"Trayveon Williams","RB","CIN","0","0","0","0","0","12","0","0","0","bye","0","0","0","0","0","0","0","24","36","9.0"
"Ryquell Armstead","RB","JAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","14","20","34","17.0"
"Greg Dortch","WR","ARI","0","0","0","0","0","0","0","0","4","1","0","bye","0","0","0","0","17","12","34","6.8"
"Andre Roberts","WR","Multi","0","22","0","2","0","2","0","0","2","0","1","0","0","0","1","0","0","3","33","2.1"
"Trent Taylor","WR","CIN","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","1","0","32","33","8.3"
"Jody Fortson","TE","KC","0","2","6","15","0","10","0","0","0","0","0","bye","0","0","0","0","0","0","33","8.3"
"Jermar Jefferson","RB","DET","0","0","0","0","0","0","0","11","bye","3","0","5","8","0","6","0","0","0","33","6.6"
"Geronimo Allison","WR","DET","0","0","0","0","0","0","32","0","bye","0","0","0","0","0","0","0","0","0","32","32.0"
"Chad Henne","QB","KC","0","0","0","0","0","0","18","0","0","3","0","bye","0","4","0","6","0","0","31","7.8"
"Jason Huntley","RB","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","31","31","31.0"
"Mitch Trubisky","QB","BUF","0","2","8","9","0","0","bye","0","0","0","6","0","0","0","0","0","0","5","30","6.0"
"Cethan Carter","TE","MIA","0","16","0","1","0","4","0","0","4","0","0","0","0","bye","0","0","0","4","29","3.6"
"Kene Nwangwu","RB","MIN","0","0","0","0","0","0","bye","0","0","0","0","2","9","0","5","12","0","1","29","3.2"
"Travis Benjamin","WR","SF","0","0","0","0","15","bye","0","0","0","0","0","0","3","2","0","0","2","6","28","5.6"
"Daniel Helm","TE","LV","0","0","0","0","0","0","0","bye","0","3","0","14","0","0","11","0","0","0","28","9.3"
"Malik Taylor","WR","GB","15","0","0","0","4","0","0","5","0","1","0","0","bye","1","1","0","0","0","27","3.9"
"Kylin Hill","RB","GB","14","5","0","0","2","0","5","0","0","0","0","0","bye","0","0","0","0","0","26","3.3"
"Rodney Smith","RB","CAR","0","0","0","26","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","26","26.0"
"Jaydon Mickens","WR","Multi","0","0","0","3","13","3","0","0","0","0","0","0","3","1","1","1","0","0","25","2.3"
"Colin Thompson","TE","CAR","0","0","0","12","0","0","4","0","9","0","0","0","bye","0","0","0","0","0","25","8.3"
"Alex Bachman","WR","NYG","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","25","25","12.5"
"Josh Rosen","QB","ATL","0","6","0","0","0","bye","0","0","0","15","3","0","0","0","0","0","0","0","24","8.0"
"Jordan Veasy","WR","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","15","0","9","0","24","12.0"
"Noah Togiai","TE","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","24","24","24.0"
"Chris Streveler","QB","ARI","0","0","0","0","0","0","0","0","2","22","0","bye","0","0","0","0","0","0","24","12.0"
"Derek Carrier","TE","LV","0","11","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","12","23","11.5"
"Kevin Rader","TE","PIT","0","0","0","0","0","0","bye","0","1","0","0","0","0","0","0","17","5","0","23","7.7"
"Mike Boone","RB","DEN","0","0","0","0","0","6","0","0","0","0","bye","0","17","0","0","0","0","0","23","7.7"
"La'Mical Perine","RB","NYJ","0","0","0","0","0","bye","0","6","0","0","0","0","0","17","0","0","0","0","23","11.5"
"Brycen Hopkins","TE","LAR","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","22","0","0","0","22","22.0"
"Jalen Camp","WR","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","22","0","0","22","22.0"
"Marcus Mariota","QB","LV","1","0","0","0","0","0","1","bye","1","0","0","2","0","0","4","0","5","7","21","3.0"
"Daniel Brown","TE","NYJ","0","0","0","0","0","bye","0","0","0","0","0","0","0","9","0","0","12","0","21","7.0"
"Wendell Smallwood","RB","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","5","0","0","0","16","0","21","10.5"
"Davion Davis","WR","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","20","1","0","0","0","0","21","10.5"
"John Wolford","QB","LAR","0","0","0","0","0","10","0","9","0","0","bye","0","0","0","0","0","0","0","19","9.5"
"Andy Isabella","WR","ARI","0","0","0","0","0","0","0","0","7","0","0","bye","0","0","12","0","0","0","19","6.3"
"Anthony McFarland Jr.","RB","PIT","0","0","0","0","0","0","bye","7","0","0","0","12","0","0","0","0","0","0","19","9.5"
"Tarik Black","WR","NYJ","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","19","19","19.0"
"Scottie Phillips","RB","HOU","0","0","0","0","0","0","0","15","4","bye","0","0","0","0","0","0","0","0","19","9.5"
"Tyrie Cleveland","WR","DEN","0","0","0","0","5","10","4","0","0","0","bye","0","0","0","0","0","0","0","19","4.8"
"Jake Funk","RB","LAR","0","3","14","0","0","0","0","0","0","0","bye","0","0","0","0","2","0","0","19","3.8"
"Jaylen Samuels","RB","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","8","0","0","1","9","0","18","6.0"
"Sam Ehlinger","QB","IND","0","0","0","0","0","0","0","0","1","0","7","0","10","bye","0","0","0","0","18","6.0"
"Stephen Sullivan","TE","CAR","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","17","0","0","17","17.0"
"Ryan Fitzpatrick","QB","WAS","16","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","16","16.0"
"Codey McElroy","TE","TB","0","0","0","4","12","0","0","0","bye","0","0","0","0","0","0","0","0","0","16","8.0"
"Deon Jackson","RB","IND","0","0","0","0","0","0","0","0","0","0","7","0","8","bye","0","0","1","0","16","3.2"
"Ryan Nall","RB","CHI","0","0","0","0","0","0","5","7","2","bye","0","0","0","0","0","0","1","0","15","3.0"
"C.J. Saunders","WR","CAR","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","15","15","15.0"
"Reggie Bonnafon","RB","CAR","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","14","0","0","14","14.0"
"Johnny Stanton IV","RB","CLE","0","0","0","0","0","2","11","0","0","1","0","0","bye","0","0","0","0","0","14","4.7"
"KJ Hill Jr.","WR","LAC","7","0","0","2","4","1","bye","0","0","0","0","0","0","0","0","0","0","0","14","2.3"
"Easop Winston Jr.","WR","NO","0","0","0","0","0","bye","0","0","0","0","0","0","0","7","1","6","0","0","14","4.7"
"Isaiah Coulter","WR","CHI","0","0","0","0","0","0","0","0","0","bye","0","14","0","0","0","0","0","0","14","14.0"
"Sammis Reyes","TE","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","6","0","0","2","6","0","14","4.7"
"John Brown","WR","Multi","0","0","0","0","0","0","6","0","0","0","4","3","0","0","0","0","0","0","13","4.3"
"Dwayne Washington","RB","NO","0","0","0","5","0","bye","0","0","0","4","4","0","0","0","0","0","0","0","13","1.6"
"Cam Akers","RB","LAR","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","13","13","13.0"
"Frank Darby","WR","ATL","0","0","0","0","0","bye","0","0","0","12","0","0","0","0","0","0","1","0","13","3.3"
"Matthew Slater","WR","NE","0","0","0","1","0","0","0","1","3","2","2","0","2","bye","0","0","1","0","12","1.2"
"Ethan Wolf","TE","NO","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","12","0","0","12","12.0"
"Gary Brightwell","RB","NYG","8","0","2","0","0","0","0","0","0","bye","1","1","0","0","0","0","0","0","12","1.7"
"Trenton Cannon","RB","Multi","9","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1.1"
"Vyncint Smith","WR","NYJ","0","0","0","0","0","bye","0","0","0","0","0","0","0","11","0","0","0","0","11","11.0"
"Deon Yelder","TE","TB","0","0","0","0","0","0","11","0","bye","0","0","0","0","0","0","0","0","0","11","11.0"
"Kirk Merritt","WR","MIA","0","0","0","0","0","0","0","0","11","0","0","0","0","bye","0","0","0","0","11","11.0"
"Rodney Adams","WR","CHI","0","0","0","0","0","0","0","0","0","bye","0","0","10","0","0","0","0","0","10","10.0"
"Michael Bandy","WR","LAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","10","0","0","10","10.0"
"Kenjon Barner","RB","TB","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","9","9","3.0"
"Devin Smith","WR","JAC","9","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","9","9.0"
"Trey Ragas","RB","LV","0","0","0","0","0","0","0","bye","0","0","0","0","0","9","0","0","0","0","9","9.0"
"Nick Bawden","RB","NYJ","0","0","0","0","0","bye","0","0","0","0","8","0","0","0","0","0","0","0","8","8.0"
"JaQuan Hardy","RB","DAL","0","0","0","0","0","0","bye","0","0","0","0","0","0","2","0","0","0","6","8","4.0"
"C.J. Beathard","QB","JAC","0","0","0","0","0","0","bye","0","6","0","0","0","1","0","0","0","0","0","7","3.5"
"Miles Boykin","WR","BAL","0","0","0","0","0","4","0","bye","0","0","0","0","0","0","0","3","0","0","7","3.5"
"Darius Bradwell","RB","LAC","0","0","0","0","0","0","bye","0","0","0","0","7","0","0","0","0","0","0","7","7.0"
"Tutu Atwell","WR","LAR","0","0","0","0","0","7","0","0","0","0","bye","0","0","0","0","0","0","0","7","1.2"
"Logan Woodside","QB","TEN","0","0","0","0","0","0","1","1","1","0","0","0","bye","3","0","0","0","0","6","1.5"
"Buddy Howell","RB","LAR","0","0","0","0","0","0","0","6","0","0","bye","0","0","0","0","0","0","0","6","1.2"
"Jacques Patrick","RB","SF","0","0","0","6","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","6","6.0"
"Antonio Gandy-Golden","WR","WAS","0","0","0","0","0","0","6","0","bye","0","0","0","0","0","0","0","0","0","6","6.0"
"Darrynton Evans","RB","TEN","0","0","0","0","0","0","6","0","0","0","0","0","bye","0","0","0","0","0","6","6.0"
"Mekhi Sargent","RB","Multi","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","6","1.5"
"Marquez Stevenson","WR","BUF","0","0","0","0","0","0","bye","0","0","0","0","1","0","0","2","0","3","0","6","1.2"
"Chase Daniel","QB","LAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","5","0","0","0","0","5","5.0"
"Marvin Hall","WR","ATL","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","5","0","0","5","5.0"
"Ito Smith","RB","DAL","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","5","5","5.0"
"Jesper Horsted","TE","CHI","0","0","0","0","2","0","1","0","0","bye","0","0","0","0","2","0","0","0","5","1.3"
"Jacob Eason","QB","IND","0","5","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","5","5.0"
"Dan Chisena","WR","MIN","0","0","0","0","0","0","bye","0","0","0","0","0","5","0","0","0","0","0","5","2.5"
"Feleipe Franks","QB","ATL","0","0","0","1","0","bye","0","0","2","1","1","0","0","0","0","0","0","0","5","1.0"
"Dillon Stoner","WR","LV","0","0","0","0","0","0","0","bye","1","4","0","0","0","0","0","0","0","0","5","2.5"
"Raheem Mostert","RB","SF","4","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","4","4.0"
"Nathan Peterman","QB","LV","0","0","0","0","4","0","0","bye","0","0","0","0","0","0","0","0","0","0","4","4.0"
"Davis Webb","QB","BUF","0","0","0","0","0","0","bye","0","0","4","0","0","0","0","0","0","0","0","4","4.0"
"David Moore","WR","Multi","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2.0"
"Keke Coutee","WR","IND","0","0","0","0","0","0","4","0","0","0","0","0","0","bye","0","0","0","0","4","4.0"
"Damarea Crockett","RB","DEN","0","0","4","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","4","4.0"
"Devine Ozigbo","RB","Multi","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","2.0"
"David Blough","QB","DET","0","0","0","0","0","0","0","4","bye","0","0","0","0","0","0","0","0","0","4","4.0"
"Tommylee Lewis","WR","MIA","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","3","0","0","3","1.5"
"John Kelly Jr.","RB","CLE","0","0","0","0","0","0","3","0","0","0","0","0","bye","0","0","0","0","0","3","3.0"
"Brandon Powell","WR","LAR","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","2","1","0","0","3","0.5"
"Brett Rypien","QB","DEN","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","3","0","3","3.0"
"Kellen Mond","QB","MIN","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","3","0","3","3.0"
"Artavis Pierce","RB","CHI","0","0","0","0","0","3","0","0","0","bye","0","0","0","0","0","0","0","0","3","3.0"
"Mason Kinsey","WR","TEN","0","0","0","0","0","0","3","0","0","0","0","0","bye","0","0","0","0","0","3","3.0"
"Daurice Fountain","WR","KC","0","0","0","0","0","0","0","0","0","0","2","bye","0","0","0","0","0","0","2","2.0"
"Kurt Benkert","QB","GB","0","0","0","0","0","0","0","0","0","0","0","0","bye","2","0","0","0","0","2","2.0"
"Cullen Gillaspia","RB","NYG","0","0","1","0","0","0","1","0","0","bye","0","0","0","0","0","0","0","0","2","0.5"
"Andrew Beck","TE","DEN","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","2","0","0","0","2","2.0"
"John Hightower","WR","PHI","0","0","0","0","0","0","0","0","2","0","0","0","0","bye","0","0","0","0","2","2.0"
"Maurice Ffrench","WR","LAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","2","0","0","2","1.0"
"Nate McCrary","RB","BAL","0","0","0","0","0","0","0","bye","0","0","0","0","2","0","0","0","0","0","2","2.0"
"Taiwan Jones","RB","BUF","0","0","0","0","0","0","bye","1","0","0","0","0","0","0","0","0","0","0","1","0.1"
"Cody Thompson","WR","SEA","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","1","0","0","0","1","0.5"
"Nsimba Webster","WR","CHI","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","1","0","0","0","1","0.2"
"Nathan Cottrell","RB","JAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","1","0","0","1","0.3"
"Miller Forristall","TE","CLE","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","1","0","0","0","1","1.0"
"Nick Ralston","RB","DAL","0","0","1","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","1","1.0"
""
""