,Dallas Goedert,Dalton Schultz,Darren Waller,Dawson Knox,George Kittle,Kyle Pitts,Mark Andrews,T.J. Hockenson,Travis Kelce,Zach Ertz
2017-09-07,,,,,7.7,,,,9.4,17.3
2017-09-14,,,,,3.3,,,,24.3,14.7
2017-09-21,,,,,1.8,,,,1.1,17.5
2017-09-28,,,,,5.5,,,,24.4,13.1
2017-10-05,,,,,21.3,,,,17.8,18.1
2017-10-12,,,,,8.6,,,,7.7,15.8
2017-10-19,,,,,2.6,,,,13.3,19.9
2017-10-26,,,,,4.2,,,,26.3,13.4
2017-11-02,,,,,5.7,,,,20.3,
2017-11-09,,,,,,,,,,
2017-11-16,,,,,,,,,16.9,2.8
2017-11-23,,,,,2.4,,,,6.9,26.3
2017-11-30,,,,,4.0,,,,25.4,4.4
2017-12-07,,,,,3.0,,,,14.4,
2017-12-14,,,,,9.2,,,,10.6,17.6
2017-12-23,,,,,13.2,,,,14.7,17.1
2017-12-31,,,,,14.0,,,,,4.4
2018-09-06,1.4,0.0,,,14.0,,6.1,,1.6,9.8
2018-09-13,0.0,,,,4.2,,10.7,,29.9,20.4
2018-09-20,20.3,,,,14.9,,7.9,,19.4,12.3
2018-09-27,3.3,,,,24.5,,3.2,,20.8,21.2
2018-10-04,3.6,,,,13.3,,2.6,,15.0,27.0
2018-10-11,1.7,,,,7.0,,4.0,,11.1,17.3
2018-10-18,14.3,2.2,,,20.8,,7.8,,14.5,22.8
2018-10-25,10.2,,,,10.7,,7.1,,19.9,12.6
2018-11-01,,0.0,,,20.8,,8.0,,28.9,
2018-11-08,0.0,4.1,,,17.3,,,,10.6,40.5
2018-11-15,0.0,0.0,,,,,2.9,,28.7,3.5
2018-11-22,6.3,0.9,,,11.8,,8.4,,,22.1
2018-11-29,0.0,1.7,,,13.0,,7.7,,38.8,17.3
2018-12-06,14.4,6.7,0.0,,34.0,,0.0,,20.7,8.8
2018-12-13,3.2,5.3,7.5,,8.1,,5.1,,13.1,5.2
2018-12-22,6.0,0.0,2.8,,14.4,,16.3,,10.4,35.0
2018-12-30,5.7,2.7,5.3,,29.9,,9.4,,11.2,4.5
2019-09-05,3.6,0.0,14.0,1.1,13.4,,24.8,25.1,11.8,10.4
2019-09-12,,0.0,12.3,2.8,8.4,,25.2,1.7,23.7,17.2
2019-09-19,0.0,0.0,27.1,16.6,11.7,,4.5,1.1,15.9,10.4
2019-09-26,9.6,0.0,12.3,8.8,,,13.1,11.7,15.5,13.5
2019-10-03,2.1,0.0,7.9,3.2,20.8,,9.5,,11.0,16.7
2019-10-10,9.8,1.6,,,18.3,,13.9,6.1,9.8,7.4
2019-10-17,14.9,0.0,31.6,4.2,6.8,,5.9,6.2,10.4,5.8
2019-10-24,11.2,,9.1,0.0,14.6,,,3.1,16.3,4.0
2019-10-31,7.9,0.0,7.2,3.4,19.9,,4.1,8.6,13.2,25.3
2019-11-07,,0.0,7.0,9.5,,,23.3,7.7,20.5,
2019-11-14,12.6,0.0,12.6,11.2,,,17.5,1.6,22.2,18.4
2019-11-21,8.2,0.0,7.1,3.1,24.9,,6.5,0.0,,27.1
2019-11-28,12.6,0.0,17.0,4.7,3.4,,14.0,7.8,14.0,5.4
2019-12-05,7.1,0.0,11.2,4.7,18.7,,2.4,,18.0,30.1
2019-12-12,10.5,0.0,20.2,2.1,26.4,,15.2,,25.2,17.1
2019-12-20,24.1,0.0,7.7,4.3,18.9,,27.3,,21.4,6.8
2019-12-27,10.5,0.0,16.7,,16.3,,,,5.4,
2020-09-10,24.1,2.1,10.5,4.6,9.3,,22.8,16.6,17.0,10.8
2020-09-17,7.0,21.8,28.5,2.6,,,3.9,10.2,24.0,9.2
2020-09-24,1.7,8.8,2.9,,,,5.2,9.3,14.7,14.0
2020-10-01,,17.2,15.8,3.6,40.1,,20.7,10.9,10.0,6.9
2020-10-08,,1.6,15.8,2.5,8.4,,17.6,,24.8,1.6
2020-10-15,,7.5,,,23.9,,4.1,9.7,21.5,7.3
2020-10-22,,4.2,17.0,,10.5,,,16.9,6.1,
2020-10-29,2.5,11.3,7.7,,5.9,,6.2,13.5,24.9,
2020-11-05,,8.8,13.2,0.0,,,5.2,14.9,25.9,
2020-11-12,7.3,,6.7,3.6,,,13.1,3.3,,
2020-11-19,18.7,12.5,21.8,,,,20.6,10.8,26.9,
2020-11-26,20.5,7.4,6.3,7.2,,,,13.9,16.2,
2020-12-03,11.6,8.4,45.0,12.7,,,,15.4,27.6,5.1
2020-12-10,8.3,6.4,14.5,5.4,,,12.8,16.3,27.6,2.8
2020-12-17,7.9,9.4,30.0,11.6,,,17.6,1.8,22.8,8.9
2020-12-24,6.8,5.1,16.2,8.1,13.2,,13.6,6.3,22.8,6.3
2021-01-03,,14.0,26.7,4.9,13.8,,6.7,5.5,,4.6
2021-09-06,4.4,3.8,11.5,9.7,5.7,12.3,10.7,20.6,23.9,1.6
2021-09-09,14.2,10.5,26.5,8.1,11.8,7.1,5.0,25.7,25.6,5.4
2021-09-23,8.6,26.0,10.4,14.9,17.1,5.5,15.9,3.0,17.4,15.3
2021-09-30,16.6,17.8,15.0,20.7,8.0,9.0,11.7,8.2,6.3,12.0
2021-10-07,4.8,13.9,8.5,20.7,0.0,26.9,41.7,4.2,17.7,1.7
2021-10-14,0.0,12.9,10.9,7.5,0.0,0.0,17.8,15.4,17.9,12.9
2021-10-21,12.0,0.0,0.0,0.0,0.0,23.3,7.8,10.8,13.5,16.0
2021-10-28,13.2,3.1,0.0,0.0,0.0,3.3,0.0,18.9,4.7,8.2
2021-11-04,7.3,9.4,16.2,0.0,20.1,9.2,9.4,0.0,17.8,5.7
2021-11-11,4.8,2.4,6.4,2.7,16.0,10.0,18.3,0.0,19.9,8.6
2021-11-18,11.2,11.3,18.6,14.0,13.4,5.9,15.3,11.1,18.8,28.8
2021-11-25,1.0,15.6,5.3,18.2,2.3,4.6,16.5,12.5,0.0,0.0
2021-12-02,28.5,9.3,0.0,3.4,39.6,8.8,9.0,14.9,5.7,2.0
2021-12-09,0.0,1.4,0.0,19.0,34.1,11.1,28.5,0.0,5.7,9.2
2021-12-16,20.5,20.7,0.0,7.8,15.3,11.7,35.6,0.0,41.1,13.4
2021-12-23,4.8,22.2,0.0,9.1,4.1,16.2,26.5,0.0,0.0,13.4
2022-01-02,13.1,11.4,0.0,0.0,4.5,8.9,14.9,0.0,13.4,11.1
